"Year","Manufacturer","Model","city08","co2","co2TailpipeGpm","fuelCost08","fuelCostA08","fuelType1","ghgScore","highway08","Manufacturer_Id","range","rangeCity","rangeHwy","Noise","Price"
"2023","Chevrolet","Malibu","27","181","181","1750","0","Regular Gasoline","6","35","45903","400","0","0","64.2","24700"
"2023","Chrysler","Voyager","19","401","401","2400","0","Regular Gasoline","5","28","46373","640","0","0","63.7","33995"
"2023","Ford","Escape FWD HEV","42","140","140","1350","0","Regular Gasoline","7","36","46325","780","0","0","65.1","28995"
"2023","Ford","Escape FWD","27","140","140","1750","0","Regular Gasoline","6","34","46324","780","0","0","65.1","26295"
"2023","Ford","Escape AWD","26","140","140","1900","0","Regular Gasoline","6","32","46388","780","0","0","65.1","28795"
"2023","Ford","Escape AWD","23","140","140","2050","0","Regular Gasoline","5","31","46387","780","0","0","65.1","28795"
"2023","Ford","Escape AWD HEV","42","140","140","1350","0","Regular Gasoline","7","36","46389","780","0","0","65.1","31295"
"2023","Honda","Accord Hybrid","51","124","124","1100","0","Regular Gasoline","8","44","46364","622","0","0","49.6","27620"
"2023","Hyundai","Sonata","27","117","117","1700","0","Regular Gasoline","6","37","45418","925","0","0","50.4","24150"
"2023","Hyundai","Sonata","27","117","117","1700","0","Regular Gasoline","6","37","45419","925","0","0","50.4","27750"
"2023","Hyundai","Sonata","23","117","117","1950","0","Regular Gasoline","5","33","45439","925","0","0","50.4","33250"
"2023","Hyundai","Sonata","28","117","117","1650","0","Regular Gasoline","6","38","45420","925","0","0","50.4","36250"
"2023","Kia","Niro","53","42","42","1100","0","Regular Gasoline","8","45","45673","385","0","0","46.0","23990"
"2023","Kia","Niro Electric","126","0","0","600","0","Electricity","10","101","46008","253","0","0","46.0","39990"
"2023","Nissan","Altima SR","25","191","191","1850","0","Regular Gasoline","6","34","45947","800","0","0","52.3","27225"
"2023","Toyota","Camry XSE","22","121","121","2050","0","Regular Gasoline","5","32","45721","780","0","0","59.0","33995"
"2023","Toyota","Camry TRD","22","121","121","2100","0","Regular Gasoline","5","31","45720","780","0","0","59.0","35995"
